grCode	en	abbreviation	el	otherName
13.02.03.03.001	Fibrin sensitivity monomer		ΔΙΑΛΥΤΑ ΜΟΝΟΜΕΡΗ ΙΝΩΔΟΥΣ	
13.02.03.04.001	Fibrinopeptide A		ΙΝΩΔΟΠΕΠΤΙΔΙΟ Α	
13.02.03.05.001	Heparin		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΠΙΠΕΔΩΝ ΗΠΑΡΙΝΗΣ	
13.02.03.06.001	Hirudin Test		ΧΡΟΝΟΣ ΕΚΑΡΙΝΗΣ	Ecarin Clotting Time
13.02.03.07.001	Plasmin - a2 - Antiplasmin Complex		ΣΥΜΠΛΟΚΟ ΠΛΑΣΜΙΝΗΣ-Α2 ΑΝΤΙΠΛΑΣΜΙΝΗΣ	
13.02.03.08.001	Prothrombin Fragment 1 + 2		ΚΛΑΣΜΑ ΠΡΟΘΡΟΜΒΙΝΗΣ 1+2	
13.02.03.09.001	Thrombin-Antithrombin III-Complex		ΣΥΜΠΛΟΚΟ ΘΡΟΜΒΙΝΗΣ-ΑΝΤΙΘΡΟΜΒΙΝΗΣ ΙΙΙ	
13.02.03.20.001	Anti Xa activity (Heparin, LMWH)		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΗΣ ΑΝΤΙ-Xa ΔΡΑΣΤΙΚΟΤΗΤΑΣ (ΘΕΡΑΠΕΙΑ ΜΕ ΚΛΑΣΙΚΗ ΗΠΑΡΙΝΗ Η ΗΠΑΡΙΝΗ ΧΑΜΗΛΟΥ ΜΟΡΙΑΚΟΥ ΒΑΡΟΥΣ)	
13.02.03.21.001	Anti Xa activity (Fondaparinux )		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΗΣ ΑΝΤΙ-Xa ΔΡΑΣΤΙΚΟΤΗΤΑΣ (ΘΕΡΑΠΕΙΑ ΜΕ FONDAPARINUX)	
13.02.03.22.001	Anti Xa activity (Rivaroxaban)		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΗΣ ΑΝΤΙ-Xa ΔΡΑΣΤΙΚΟΤΗΤΑΣ (ΘΕΡΑΠΕΙΑ ΜΕ RIVAROXABAN)	
13.02.03.23.001	Βinding capacity of von Willebrand to F VIII		ΙΚΑΝΟΤΗΤΑ ΔΕΣΜΕΥΣΗΣ ΤΟΥ VWF ΣΤΟΝ FVIII	
13.02.03.24.001	von Willebrand factor propeptide		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΡΟΠΕΠΤΙΔΙΟΥ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND	
13.02.03.25.001	ADAMTS -13 activity		ΔΡΑΣΤΙΚΟΤΗΤΑ ΤΗΣ ΜΕΤΑΛΛΟΠΡΩΤΕΑΣΗΣ ADAMTS-13	
13.02.03.26.001	ADAMTS -13 antigen		ΑΝΤΙΓΟΝΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΗΣ ΜΕΤΑΛΛΟΠΡΩΤΕΑΣΗΣ ADAMTS-13	
13.02.03.27.001	ADAMTS-13 antibodies		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙ-ADAMTS-13 ΑΝΤΙΣΩΜΑΤΩΝ	
13.02.03.90.900	Other Special Coagulation Tests		ΑΛΛΕΣ ΕΞΕΙΔΙΚΕΥΜΕΝΕΣ ΕΞΕΤΑΣΕΙΣ ΑΙΜΟΣΤΑΣΗΣ	
13.02.04.01.001	Platelet activation in whole blood with different stimulators (per stimulator)		ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΣΕ ΟΛΙΚΟ ΑΙΜΑ ΜΕ ΔΙΑΦΟΡΕΤΙΚΟΥΣ ΕΝΕΡΓΟΠΟΙΗΤΕΣ (ΑΝΑ ΕΝΕΡΓΟΠΟΙΗΤΗ)	
13.02.04.01.002	Platelet activation in platelet rich plasma (PRP) with different stimulators (per stimulator)		ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΣΕ ΠΛΑΣΜΑ ΠΛΟΥΣΙΟ ΣΕ ΑΙΜΟΠΕΤΑΛΙΑ ΜΕ ΔΙΑΦΟΡΕΤΙΚΟΥΣ ΕΝΕΡΓΟΠΟΙΗΤΕΣ (ΑΝΑ ΕΝΕΡΓΟΠΟΙΗΤΗ)	
13.02.04.01.003	Platelet activation for the assessment of antiplatelet therapy (per drug)		ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΓΙΑ ΤΗΝ ΕΚΤΙΜΙΣΗ ΤΗΣ ΑΝΤΙΑΙΜΟΠΕΤΑΛΙΑΚΗΣ ΘΕΡΑΠΕΙΑΣ (ΑΝΑ ΦΑΡΜΑΚΕΥΤΙΚΗ ΟΥΣΙΑ)	
13.02.04.02.001	Platelet Factor 4	PF4	ΑΙΜΟΠΕΤΑΛΙΑΚΟΣ ΠΑΡΑΓΟΝΤΑΣ 4	
13.02.04.03.001	Prostacyclin	PG12	ΠΡΟΣΤΑΚΥΚΛΙΝΗ (ΠΡΟΣΤΑΓΛΑΝΔΙΝΗ 12)	
13.02.04.04.001	Thromboxane	TX	ΘΡΟΜΒΟΞΑΝΗ	
13.02.04.05.001	b-Thromboglobulin	B-TG	Β-ΘΡΟΜΒΟΣΦΑΙΡΙΝΗ	
13.02.04.90.900	Other Primary Hemostasis/Platelet Factors		ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΕΛΕΓΧΟΥ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ	
13.02.05.01.001	a2-Antiplasmin		ΔΡΑΣΤΙΚΟΤΗΤΑ Α2 ΑΝΤΙΠΛΑΣΜΙΝΗΣ	
13.02.05.02.001	Fibrinogen Degradation Products	FDP	ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣ ΙΝΩΔΟΥΣ- ΙΝΩΔΟΓΟΝΟΥ	
13.02.05.03.001	D-Dimer (semi quantitative)		D-ΔΙΜΕΡΗ (ΗΜΙΠΟΣΟΤΙΚΟΣ ΕΛΕΓΧΟΣ)	
13.02.05.03.002	D-Dimer (quantitative)		D-ΔΙΜΕΡΗ (ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ)	
13.02.05.04.001	Plasmin		ΠΛΑΣΜΙΝΗ	
13.02.05.05.001	Plasminogen		ΠΛΑΣΜΙΝΟΓΟΝΟ	
13.02.05.06.001	Plasminogen Activator-Inhibitor	PAI	ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΕΝΕΡΓΟΠΟΙΗΤΗ ΤΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ	
13.02.05.07.001	Tissue Plasminogen Activator antigen	tPA Ag	ΑΝΤΙΓΟΝΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΕΝΕΡΓΟΠΟΙΗΤΗ ΤΟΥ ΙΣΤΙΚΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ	
13.02.05.07.002	Tissue Plasminogen Activator activity	tPA	ΔΡΑΣΤΙΚΟΤΗΤΑ ΕΝΕΡΓΟΠΟΙΗΤΗ ΤΟΥ ΙΣΤΙΚΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ	
13.02.05.08.001	Urokinase Plasminogen Activator	UPA	ΕΝΕΡΓΟΠΟΙΗΤΗΣ ΠΛΑΣΜΙΝΟΓΟΝΟΥ ΤΥΠΟΥ ΟΥΡΟΚΙΝΑΣΗΣ	
13.02.05.09.001	Thrombin Activating Fibrinolysis Inhibitor	TAFI	ΑΝΑΣΤΑΛΤΗΣ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ ΕΝΕΡΓΟΠΟΙΟΥΜΕΝΟΣ ΑΠΟ ΘΡΟΜΒΙΝΗ (TAFI)	
13.02.05.90.900	Other Fibrinolysis Tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΙΝΩΔΟΛΥΣΗΣ	
13.02.06.02.001	Antithrombin ΙΙΙ activity	ATIII	ΔΡΑΣΤΙΚΟΤΗΤΑ ΑΝΤΙΘΡΟΜΒΙΝΗΣ ΙΙΙ	
13.02.06.02.002	Antithrombin ΙΙΙ antigen		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΘΡΟΜΒΙΝΗΣ ΙΙΙ	
13.02.06.04.001	Coagulation factor VIII Inhibitor		ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VIII	
13.02.06.05.001	Coagulation factor IX Inhibitor		ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ IX	
13.02.06.06.001	Coagulation factor X Inhibitor		ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ X	
13.02.06.07.001	Lupus Anticoagulant ( APTT screen)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (APTT SCREEN)	
13.02.06.07.002	Lupus Anticoagulant ( exagonal phase pospholipids confirm)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (ΕΠΙΒΕΒΑΙΩΤΙΚΗ ΜΕ ΕΞΑΓΩΝΙΚΑ ΦΩΣΦΟΛΙΠΙΔΙΑ)	
13.02.06.07.003	Lupus Anticoagulant ( DRVV screen)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DRVV SCREEN)	
13.02.06.07.004	Lupus Anticoagulant (DRVV confirm)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DRVV CONFIRM)	
13.02.06.07.005	Lupus Anticoagulant (DPT screen)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DPT SCREEN)	
13.02.06.07.006	Lupus Anticoagulant (DPT confirm)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DPT CONFIRM)	
13.02.06.07.007	Lupus Anticoagulant (KCT screen)		ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (KCT SCREEN)	
13.02.06.08.001	Protein C activity	PC	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΡΩΤΕΙΝΗΣ C	
13.02.06.10.001	Heparin Cofactor II		ΔΡΑΣΤΙΚΟΤΗΤΑ ΣΥΜΠΑΡΑΓΟΝΤΑ ΙΙ ΤΗΣ ΗΠΑΡΙΝΗΣ	
13.02.06.11.001	APC Resistance	APC-R	ΑΝΤΙΣΤΑΣΗ ΣΤΗΝ ΕΝΕΡΓΟΠΟΙΗΜΕΝΗ ΠΡΩΤΕΙΝΗ C	
13.02.06.12.001	Pro C		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΡΩΤΕΙΝΗΣ C	
13.02.06.13.001	Free Protein S Antigen	Free PS	ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΜΟΣ ΕΛΕΥΘΕΡΗΣ ΠΡΩΤΕΙΝΗΣ S	
13.02.06.14.001	Total Protein S Antigen		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΜΟΣ ΟΛΙΚΗΣ ΠΡΩΤΕΙΝΗΣ S	
13.02.06.15.001	Protein S Activity	PS	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΡΩΤΕΙΝΗΣ S	
13.02.06.17.001	Tissue Factor Pathway Inhibitor	TFPI	ΑΝΑΣΤΑΛΤΗΣ ΙΣΤΙΚΟΥ ΠΑΡΑΓΟΝΤΑ (TFPI)	
13.02.06.20.001	Plasma mixing test for coagulation factor Inhibitors		ΔΟΚΙΜΑΣΙΑ ΑΝΑΜΕΙΞΗΣ ΓΙΑ ΕΛΕΓΧΟ ΕΠΙΚΤΗΤΩΝ ΑΝΑΣΤΑΛΤΩΝ ΤΗΣ ΠΗΞΗΣ	
13.02.06.21.001	Plasma dilution test for coagulation factor Inhibitors		ΔΟΚΙΜΑΣΙΑ ΑΡΑΙΩΣΕΩΝ ΓΙΑ ΕΛΕΓΧΟ ΕΠΙΚΤΗΤΩΝ ΑΝΑΣΤΑΛΤΩΝ ΤΗΣ ΠΗΞΗΣ	
13.02.06.22.001	Thrombomodulin		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΘΡΟΜΒΟΜΟΝΤΟΥΛΙΝΗΣ	
13.02.06.90.900	Other Coagulation Inhibitors		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΛΛΩΝ ΑΝΑΣΤΑΛΤΩΝ ΑΙΜΟΣΤΑΣΗΣ	
13.02.70.03.001	D-Dimer - Rapid Test		ΠΡΟΣΔΙΟΡΙΣΜΟΣ D-ΔΙΜΕΡΩΝ ΤΟΥ ΙΝΩΔΟΥΣ -ΤΑΧΕΙΑ ΜΕΘΟΔΟΣ	
13.02.70.90.900	Other Haemostasis Rapid Tests		ΑΛΛΕΣ ΤΑΧΕΙΕΣ ΕΞΕΤΑΣΕΙΣ ΑΙΜΟΣΤΑΣΗΣ	
13.02.90.20.001	Thromboelastography, global hemostasis test with and without stimulation (per stimulator)		ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΓΙΑ ΤΗΝ ΣΥΝΟΛΙΚΗ ΕΚΤΙΜΗΣΗ ΤΟΥ ΑΙΜΟΣΤΑΤΙΚΟΥ ΜΗΧΑΝΙΣΜΟΥ ΜΕ ΚΑΙ ΧΩΡΙΣ ΔΙΕΓΕΡΣΗ (ΑΝΑ ΔΙΕΓΕΡΤΗ) (ΕΚΤΙΜΗΣΗ ΑΙΜΟΣΤΑΤΙΚΟΥ)ΜΗΧΑΝΙΣΜΟΥ, ΕΚΤΙΜΗΣΗ ΕΝΔΟΓΕΝΟΥΣ ΟΔΟΥ, ΕΚΤΙΜΗΣΗ ΕΞΩΓΕΝΟΥΣ ΟΔΟΥ, ΕΚΤΙΜΗΣΗ ΙΝΩΔΟΛΥΣΗΣ)	
13.02.90.21.001	Thromboelastography (heparin therapy)		ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΓΙΑ ΤΗΝ ΣΥΝΟΛΙΚΗ ΕΚΤΙΜΗΣΗ ΤΟΥ ΑΙΜΟΣΤΑΤΙΚΟΥ ΜΗΧΑΝΙΣΜΟΥ ΣΕ ΑΣΘΕΝΕΙΣ ΥΠΟ ΗΠΑΡΙΝΗ	
13.02.90.22.001	Anti platelet factor 4/heparin antibodies (quantitative)	Anti-PF4/H (quantitative)	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΠΟΙΟΤΙΚΗ ΜΕΘΟΔΟΣ)	
13.02.90.23.001	Anti platelet factor 4/heparin antibodies (qualitative)	Anti-PF4/H (qualitative)	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΠΟΣΟΤΙΚΗ ΜΕΘΟΔΟΣ)	
13.02.90.24.001	Anti platelet factor 4/heparin antibodies (functional assay)	Anti-PF4/H (functional)	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΛΕΙΤΟΥΡΓΙΚΗ ΜΕΘΟΔΟΣ)	
13.02.90.90.900	Other Haemostasis tests		ΑΛΛΕΣ ΔΙΑΦΟΡΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΙΜΟΣΤΑΣΗΣ	
13.03.01.01.001	ABO grouping cells (forward)	ΑΒΟ	ΟΜΑΔΑ ΑΒΟ (ΕΥΘΕΙΑ)	Ομάδα ΑΒΟ (ευθεία ομάδα)
13.03.01.02.001	ABO sera (reverse)	ΑΒΟ	ΟΜΑΔΑ ΑΒΟ (ΑΝΑΣΤΡΟΦΗ)	Ομάδα ΑΒΟ (ανάστροφη ομάδα)
13.03.01.20.001	Subgroup A1	Α1	ΠΡΟΣΔΙΟΡΙΣΜΟΣ Α1 ΥΠΟΟΜΑΔΑΣ	Κατηγοριοποίηση της ομάδας Α σε Α1 ή Α2
13.03.01.21.001	Bombay blood group	ΒΟΜΒΑΥ	ΟΜΑΔΑ ΒΟΜΒΑΗ Ή ΠΑΡΑΒΟΜΒΑΗ	
13.03.01.22.001	ABO blood group(forward and reverse)	ABO	ΟΜΑΔΑ ΑΒΟ (ΕΥΘΕΙΑ ΚΑΙ ΑΝΑΣΤΡΟΦΗ)	
13.03.01.90.900	Other ABO Typing Tests		ΑΛΛΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ ΟΜΑΔΟΣ ΑΒΟ	
13.03.02.01.001	Rhesus D	RhD	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ RhD	
13.03.02.02.001	Rhesus Phenotypes	C, c, E, e	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΩΝ Rh C, c, E, e	Πλήρης φαινότυπος Rhesus (Αντιγόνα C, c, E, e)
13.03.02.20.001	Dweek or Du	Dweek ή Du	ΠΡΟΣΔΙΟΡΙΣΜΟΣ Dweek ή Du	
13.03.02.21.001	D variant	D variant	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΑΡΑΛΛΑΓΩΝ D ΑΝΤΙΓΟΝΟΥ	
13.03.02.22.001	C antigen	C antigen	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ C	
13.03.02.23.001	c antigen	c antigen	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ c	
13.03.02.24.001	E antigen	E antigen	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Ε	
13.03.02.25.001	e antigen	e antigen	ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ e	
13.03.02.90.900	Other Rhesus Typing Assays		ΑΛΛΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ RHESUS	
13.03.03.01.001	Combined ABO typing + Rhesus D	ABO-RhD	ΟΜΑΔΑ ABO-RhD	
13.03.03.02.001	Combined ABO typing + Rhesus Phenotypes	ABO-RhD-C-c-E-e	ΟΜΑΔΑ ABO-RhD ΚΑΙ ΠΛΗΡΗΣ ΦΑΙΝΟΤΥΠΟΣ RHESUS	
13.03.03.90.900	Other ABO Typing Tests + Rhesus Typing		ΑΛΛΟΙ ΣΥΝΔΙΑΣΜΕΝΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ ΟΜΑΔΟΣ ΑΒΟ ΚΑΙ RHESUS	
13.03.04.01.001	Antibody 2 cell screening	IAT-2cells	ΕΜΜΕΣΗ COOMBS ΜΕ 2 ΕΥΘΡΟΚΥΤΤΑΡΙΚΑ ΔΕΙΓΜΑΤΑ	
13.03.04.02.001	Antibody 3 cell screening	IAT-3cells	ΕΜΜΕΣΗ COOMBS ΜΕ 3 ή 4 ΕΥΘΡΟΚΥΤΤΑΡΙΚΑ ΔΕΙΓΜΑΤΑ	
13.03.04.03.001	Antibody screening with enzymes treated red cells	IAT-enz	ΕΜΜΕΣΗ COOMBS ΜΕ ΕΡΥΘΡΑ ΚΑΤΕΡΓΑΣΜΕΝΑ ΜΕ ΕΝΖΥΜΟ	
13.03.04.03.002	Antibody identification cell panels with polyspecific antiglobulin serum	PANEL-untreated	PANEL ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΑΝΤΙΣΦΑΙΡΙΝΙΚΟ ΟΡΟ (ΕΜΜΕΣΗ COOMBS)	
13.03.04.03.003	Antibody identification cell panels with enzymes treated red cells	PANEL-treated	PANEL ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΕΝΖΥΜΟ (ΠΑΠΑΪΝΗ, ΦΙΣΙΝΗ, ΒΡΩΜΕΛΙΝΗ, ΚΑ)	
13.03.04.20.001	Direct antiglobulin test or Direct COOMBS	DAT	ΑΜΕΣΗ COOMBS	
13.03.04.21.001	Direct antiglobulin test-IgG subclasses		TΑΥΤΟΠΟΙΗΣΗ ΥΠΟΤΑΞΕΩΝ IgG ΕΠΙ ΘΕΤΙΚΗΣ ΑΜΕΣΗΣ COOMBS	
13.03.04.22.001	Direct antiglobulin test with monospecific antiglobulin reagent (IgG, IgM, IgA, C3d, etc)		ΤΑΥΤΟΠΟΙΗΣΗ ΑΜΕΣΗΣ COOMBS ΜΕ ΜΟΝΟΔΥΝΑΜΟΥΣ ΑΝΤΙΟΡΟΥΣ (IgG, IgM, IgA, C3D ΚΟΚ)	
13.03.04.23.001	Direct COOMBS titration		ΤΙΤΛΟΠΟΙΗΣΗ ΑΜΕΣΗΣ COOMBS	
13.03.04.24.001	Cold-reactive autoagglutinins		ΕΛΕΓΧΟΣ ΨΥΧΡΟΣΥΓΚΟΛΛΗΤΙΝΩΝ	
13.03.04.25.001	Indirect COOMBS titration		ΤΙΤΛΟΠΟΙΗΣΗ ΕΜΜΕΣΗΣ COOMBS	
13.03.04.26.001	Cold-reactive autoagglutinins titration		ΤΙΤΛΟΠΟΙΗΣΗ ΨΥΧΡΟΣΥΓΚΟΛΛΗΤΙΝΩΝ	
13.03.04.27.001	Anti-A and Anti-B titration		ΤΙΤΛΟΠΟΙΗΣΗ ΑΙΜΟΣΥΓΚΟΛΛΗΤΙΝΩΝ ΑΝΤΙ-Α ΚΑΙ ΑΝΤΙ-Β	
13.03.04.28.001	Autologus adsorption		ΑΥΤΟΛΟΓΗ ΠΡΟΣΡΟΦΗΣΗ ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ	
13.03.04.29.001	Allogeneic adsorption		ΑΛΛΟΓΕΝΗΣ ΠΡΟΣΡΟΦΗΣΗ ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ	
13.03.04.30.001	Compatibility testing or crossmatching		ΔΟΚΙΜΑΣΙΑ ΣΥΜΒΑΤΟΤΗΤΑΣ (ΔΙΑΣΤΑΥΡΩΣΗ ΑΙΜΑΤΟΣ)	
13.03.04.31.001	Acid elution techniques for investigation of a positive DAT		ΕΚΛΟΥΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ (ΕΚΛΟΥΜΑ)	
13.03.04.32.001	Donath-Landsteiner test		ΔΟΚΙΜΑΣΙΑ DONATH-LANDSTEINER (ΔΙΦΑΣΙΚΗ ΑΙΜΟΛΥΣΙΝΗ)	
13.03.04.33.001	Heat elution techniques for investigation of a positive DAT		ΕΚΛΟΥΣΗ ΜΕ ΘΕΡΜΑΝΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΟΞΙΝΟ ΑΝΤΙΔΡΑΣΤΗΡΙΟ (ΘΕΡΜΟ ΕΚΛΟΥΣΜΑ)	
13.03.04.34.001	Other elution techniques for investigation of a positive DAT		ΕΚΛΟΥΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΆΛΛΕΣ ΤΕΧΝΙΚΕΣ	
13.03.04.90.900	Other Antibody detection (Immunohaematology)		ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΝΙΧΝΕΥΣΗΣ ΚΑΙ ΤΑΥΤΟΠΟΙΗΣΗΣ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ	
13.03.05.90.001	Other Antigen typing reagents (KELL, CELLANO, JKa, JKb, Lea, Leb, Fya, Fyb, M, N, S, s, P1, Lua, Lub)		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΚΤΕΤΑΜΕΝΟΥ ΦΑΙΝΟΤΥΠΟΥ ΕΡΥΘΡΩΝ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΑ ΕΡΥΘΡΟΚΥΤΤΑΡΙΚΑ ΑΝΤΙΓΟΝΑ KELL, CELLANO, JKa, JKb, Lea, Leb, Fya, Fyb, M, N, S, S, P1, Lua, Lub	
13.03.05.90.002	KELL antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ KELL	
13.03.05.90.003	CELLANO antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ CELLANO	
13.03.05.90.004	Jka antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Jka	
13.03.05.90.005	JKb antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ JKb	
13.03.05.90.006	Lea antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Lea	
13.03.05.90.007	Leb antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Leb	
13.03.05.90.008	Fya antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Fya	
13.03.05.90.009	Fyb antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ FYb	
13.03.05.90.010	M antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ M	
13.03.05.90.011	N antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ N	
13.03.05.90.012	S antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ S	
13.03.05.90.013	s antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ s	
13.03.05.90.014	P1 nantigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ P1	
